doc_id,filename,title,section,category,topic,audience,form_number,rev_date,page_count,word_count,extractor,source_url,source_domain,retrieved_at,content_sha256
b0f8bebb57c1ccd6,10a_ncac_ch70_subchapter_a_rules.pdf,10A Ncac Ch70 Subchapter A Rules,NC Administrative Code Title 10A Ch 70,other,intake,social_worker,,,11,7149,local-cascade,http://reports.oah.state.nc.us/ncac/title 10a - health and human services/chapter 70 - children's services/subchapter a/subchapter a rules.pdf,reports.oah.state.nc.us,2026-06-25,28b567870360ccc45e78630ce78f8f61adee6aa3f7190271dbd7dad61f7b5ecf
2c52728e874f4050,10a_ncac_ch70_subchapter_b_rules.pdf,10A Ncac Ch70 Subchapter B Rules,NC Administrative Code Title 10A Ch 70,other,assessment,supervisor,,,4,1851,local-cascade,http://reports.oah.state.nc.us/ncac/title 10a - health and human services/chapter 70 - children's services/subchapter b/subchapter b rules.pdf,reports.oah.state.nc.us,2026-06-25,dd864d78a9ee0112288187202a46b91a7aaa0d82090cc935ef861d0a94b7db6d
21b4a4f7d759dfb5,10a_ncac_ch70_subchapter_c_rules.pdf,10A Ncac Ch70 Subchapter C Rules,NC Administrative Code Title 10A Ch 70,other,assessment,court,,,2,595,local-cascade,http://reports.oah.state.nc.us/ncac/title 10a - health and human services/chapter 70 - children's services/subchapter c/subchapter c rules.pdf,reports.oah.state.nc.us,2026-06-25,98c9a05ec5310087714606c1a52c42daec4715fb7310ec5d6f38d01b771ca6f7
076523c3214e6341,10a_ncac_ch70_subchapter_d_rules.pdf,10A Ncac Ch70 Subchapter D Rules,NC Administrative Code Title 10A Ch 70,other,other,family,,,1,135,local-cascade,http://reports.oah.state.nc.us/ncac/title 10a - health and human services/chapter 70 - children's services/subchapter d/subchapter d rules.pdf,reports.oah.state.nc.us,2026-06-25,621d4618f58e3431fd7dbac48a0c1d82a8d35cf0e1f5578b5ee7212920af5a87
f3f713a63471273c,10a_ncac_ch70_subchapter_e_rules.pdf,10A Ncac Ch70 Subchapter E Rules,NC Administrative Code Title 10A Ch 70,other,assessment,social_worker,,,23,13654,local-cascade,http://reports.oah.state.nc.us/ncac/title 10a - health and human services/chapter 70 - children's services/subchapter e/subchapter e rules.pdf,reports.oah.state.nc.us,2026-06-25,f0f9d4d628e2220e90b9355bf8cbe4129509c5d26380776cfc3c0f16860d5618
3016c7e2f3e51450,10a_ncac_ch70_subchapter_f_rules.pdf,10A Ncac Ch70 Subchapter F Rules,NC Administrative Code Title 10A Ch 70,other,assessment,supervisor,,,8,4899,local-cascade,http://reports.oah.state.nc.us/ncac/title 10a - health and human services/chapter 70 - children's services/subchapter f/subchapter f rules.pdf,reports.oah.state.nc.us,2026-06-25,75488a5bfd48fe7f607cd8d41a65d877c542be4a04793ae16bfb22e706d1b85a
f3c4aa77e4b80b68,10a_ncac_ch70_subchapter_g_rules.pdf,10A Ncac Ch70 Subchapter G Rules,NC Administrative Code Title 10A Ch 70,other,intake,social_worker,,,14,8751,local-cascade,http://reports.oah.state.nc.us/ncac/title 10a - health and human services/chapter 70 - children's services/subchapter g/subchapter g rules.pdf,reports.oah.state.nc.us,2026-06-25,45317ace94889a389a32c178bd8f16b26d85604e85735cc5374f5d2683ddcbc1
860c7c560e2ec7cc,10a_ncac_ch70_subchapter_h_rules.pdf,10A Ncac Ch70 Subchapter H Rules,NC Administrative Code Title 10A Ch 70,other,intake,social_worker,,,10,6141,local-cascade,http://reports.oah.state.nc.us/ncac/title 10a - health and human services/chapter 70 - children's services/subchapter h/subchapter h rules.pdf,reports.oah.state.nc.us,2026-06-25,92c1936a0ff40f8e339fa8043695d6f64e5b93513ed995fff3de81760df39e17
e0e013a4dd412fc3,10a_ncac_ch70_subchapter_i_rules.pdf,10A Ncac Ch70 Subchapter I Rules,NC Administrative Code Title 10A Ch 70,other,intake,social_worker,,,39,24087,local-cascade,http://reports.oah.state.nc.us/ncac/title 10a - health and human services/chapter 70 - children's services/subchapter i/subchapter i rules.pdf,reports.oah.state.nc.us,2026-06-25,4d5121027897d2857b26440e9f854bba40717c6bfa02486a0249aa3febca532c
68f8fbf0bde2f476,10a_ncac_ch70_subchapter_j_rules.pdf,10A Ncac Ch70 Subchapter J Rules,NC Administrative Code Title 10A Ch 70,other,intake,supervisor,,,5,2236,local-cascade,http://reports.oah.state.nc.us/ncac/title 10a - health and human services/chapter 70 - children's services/subchapter j/subchapter j rules.pdf,reports.oah.state.nc.us,2026-06-25,0b8cc78d8fe4233805f1e468715f5ed5853ec8d5628319198e777832e8dd4b6e
38aa17c33b354e71,10a_ncac_ch70_subchapter_k_rules.pdf,10A Ncac Ch70 Subchapter K Rules,NC Administrative Code Title 10A Ch 70,other,intake,social_worker,,,18,10804,local-cascade,http://reports.oah.state.nc.us/ncac/title 10a - health and human services/chapter 70 - children's services/subchapter k/subchapter k rules.pdf,reports.oah.state.nc.us,2026-06-25,9c5089e98daadc2a44584ee169b27738d47fb5fbd24eb90c4ce1a861f884a430
b99dc6a46b1fcaf9,10a_ncac_ch70_subchapter_l_rules.pdf,10A Ncac Ch70 Subchapter L Rules,NC Administrative Code Title 10A Ch 70,other,assessment,provider,,,3,1564,local-cascade,http://reports.oah.state.nc.us/ncac/title 10a - health and human services/chapter 70 - children's services/subchapter l/subchapter l rules.pdf,reports.oah.state.nc.us,2026-06-25,b2138568045bbb2a1fbee393135d2cff6115d4c2671240bb975d7360037eccef
053cca614fd7442d,10a_ncac_ch70_subchapter_m_rules.pdf,10A Ncac Ch70 Subchapter M Rules,NC Administrative Code Title 10A Ch 70,other,assessment,social_worker,,,12,7210,local-cascade,http://reports.oah.state.nc.us/ncac/title 10a - health and human services/chapter 70 - children's services/subchapter m/subchapter m rules.pdf,reports.oah.state.nc.us,2026-06-25,b66c039b6b0c9adebc0e20ee64801fae6973fc834bc9db425585106abe5de3dc
